STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
South Carolina,SC,1992,70.26,63.52,3.01,2.78,0.94,63.97,21.92,2.19,1.56,14.99,23.30,0.00,2.02,2.25,2.03,19.41,
South Dakota,SD,1992,24.34,12.42,6.12,5.74,0.07,12.65,3.14,1.03,0.68,1.95,5.29,0.56,0.45,10.92,0.32,34.15,
Tennessee,TN,1992,122.87,108.72,7.67,5.29,1.19,109.88,46.01,3.78,3.60,21.88,34.38,0.23,2.45,6.46,4.08,24.33,
Texas,TX,1992,684.17,602.38,55.29,23.06,3.45,624.26,183.02,12.87,12.15,236.15,159.45,20.63,9.22,38.43,12.26,38.52,
United States,US,1992,6047.37,5201.18,508.60,299.56,38.02,5396.98,1822.24,362.56,229.63,1139.50,1671.46,171.59,100.13,381.99,168.26,23.58,
Utah,UT,1992,61.38,55.10,4.25,1.86,0.18,57.34,29.83,2.77,1.59,9.09,11.89,2.17,0.86,2.61,0.58,33.42,
Vermont,VT,1992,7.47,6.14,0.74,0.48,0.12,6.38,0.05,1.60,0.73,0.55,3.45,0.00,0.13,0.88,0.09,13.05,
Virginia,VA,1992,131.04,99.97,25.03,5.24,0.80,117.58,26.77,7.01,4.65,19.77,42.70,16.68,2.16,5.26,6.04,20.43,
Washington,WA,1992,94.40,81.51,5.33,4.72,2.84,83.56,10.24,3.60,2.78,18.74,48.13,0.08,3.22,5.38,2.25,18.29,
West Virginia,WV,1992,130.30,101.07,27.26,1.47,0.50,126.25,67.24,2.50,1.86,17.99,11.70,24.97,1.35,1.22,1.47,72.13,
Wisconsin,WI,1992,108.47,88.24,12.19,7.50,0.54,89.99,33.75,9.95,4.85,15.05,26.39,0.00,0.97,12.47,5.04,21.58,
Wyoming,WY,1992,81.01,66.77,12.10,2.03,0.12,76.43,43.01,0.77,0.75,11.97,5.81,14.13,0.73,3.66,0.18,173.75,
Alabama,AL,1993,152.69,128.55,18.12,5.33,0.69,139.05,63.19,3.49,2.06,27.35,31.28,11.69,4.23,5.75,3.66,36.23,
Alaska,AK,1993,48.06,38.54,9.16,0.30,0.05,46.33,2.32,1.76,2.57,18.54,11.23,9.90,1.33,0.08,0.33,80.17,
Arizona,AZ,1993,77.47,69.74,3.74,3.02,0.97,70.81,36.77,1.77,1.75,3.97,26.47,0.09,1.69,3.44,1.53,19.06,
Arkansas,AR,1993,68.02,52.36,7.89,7.43,0.34,53.26,19.90,2.86,1.82,9.95,17.90,0.84,1.41,11.66,1.69,27.69,
California,CA,1993,405.25,351.53,30.99,19.39,3.34,362.21,42.05,29.23,15.59,71.76,199.37,4.21,7.97,21.51,13.56,12.96,
Colorado,CO,1993,89.18,72.99,10.24,5.51,0.44,78.70,32.29,6.18,4.29,8.13,22.76,5.05,1.19,8.65,0.64,24.68,
Connecticut,CT,1993,42.03,39.11,1.33,1.26,0.33,39.70,7.36,9.03,3.84,3.67,15.79,0.00,0.36,0.33,1.65,12.70,
Delaware,DE,1993,20.62,19.25,0.45,0.83,0.10,19.52,7.54,1.19,0.69,4.93,5.18,0.00,0.11,0.61,0.39,29.19,
District Of Columbia,DC,1993,4.88,4.56,0.07,0.14,0.11,4.71,0.22,1.00,1.45,0.02,2.01,0.00,0.11,0.00,0.05,8.20,
Florida,FL,1993,219.32,197.39,11.78,8.43,1.72,199.10,93.75,1.71,4.75,15.09,83.71,0.09,3.53,7.00,9.70,15.75,
Georgia,GA,1993,156.01,142.87,6.32,5.85,0.97,145.11,57.63,7.45,4.04,19.75,56.24,0.00,2.41,5.11,3.38,22.36,
