"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Idaho,Nez Perce County,39265,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Power County,7817,ND,ND,ND,ND,ND,IN,IN,IN,ND,ND,ND
Idaho,Shoshone County,12765,ND,ND,ND,ND,ND,106,12.2,36,ND,ND,ND
Idaho,Twin Falls County,77230,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Idaho,Valley County,9862,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Illinois,Adams County,67103,ND,ND,ND,ND,0.067,ND,10.5,23,ND,ND,ND
Illinois,Champaign County,201081,ND,ND,ND,ND,0.055,ND,10.5,21,ND,ND,ND
Illinois,Clark County,16335,ND,ND,ND,ND,0.066,ND,ND,ND,ND,ND,ND
Illinois,Cook County,5194675,2,0.24,24.869,71,0.077,65,14,35,4.138,20.6,90
Illinois,DuPage County,916924,ND,ND,ND,ND,0.064,ND,11.7,28,ND,ND,ND
Illinois,Effingham County,34242,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
Illinois,Hamilton County,8457,ND,ND,ND,ND,0.075,ND,11.3,25,ND,ND,ND
Illinois,Jackson County,60218,ND,ND,ND,ND,ND,IN,ND,ND,ND,ND,ND
Illinois,Jersey County,22985,ND,ND,ND,ND,0.072,ND,11.2,21,ND,ND,ND
Illinois,Kane County,515269,ND,ND,ND,ND,0.069,ND,11.4,32,ND,ND,ND
Illinois,Lake County,703462,ND,ND,ND,ND,0.078,ND,9.7,22,ND,ND,ND
Illinois,LaSalle County,113924,ND,ND,ND,ND,ND,68,ND,29,0.727,4.2,14
Illinois,McHenry County,308760,ND,ND,ND,ND,0.065,ND,10.2,29,ND,ND,ND
Illinois,McLean County,169572,ND,ND,ND,ND,0.066,ND,10.6,25,ND,ND,ND
Illinois,Macon County,110768,ND,0.12,ND,ND,0.069,ND,12.2,22,2.07,15.3,49
Illinois,Macoupin County,47765,ND,ND,ND,ND,0.071,32,IN,IN,0.875,4.2,15
Illinois,Madison County,269282,ND,0.42,ND,ND,0.08,79,14.6,29,2.422,14,57
Illinois,Peoria County,186494,2,0.02,ND,ND,0.069,47,11.5,26,1.426,15.9,IN
Illinois,Randolph County,33476,ND,ND,ND,ND,0.065,ND,10.2,17,1.217,6.8,31
