region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
georgia,sumter,32819,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
georgia,walker,68756,NA,NA,NA,NA,NA,NA,8.9,20,NA,NA,NA
georgia,washington,21187,NA,NA,NA,NA,NA,42,IN,IN,NA,NA,NA
georgia,wilkinson,9563,NA,NA,NA,NA,NA,NA,13.7,23,NA,NA,NA
hawaii,hawaii,185079,NA,NA,NA,NA,NA,NA,18.2,35,NA,NA,NA
hawaii,honolulu,953207,1,0,3.411,24,0.047,70,4.7,12,1.272,4,18
hawaii,maui,154834,NA,NA,NA,NA,NA,NA,4.8,14,NA,NA,NA
idaho,ada,392365,2,NA,9.51,45,0.069,55,5,12,0.366,1.1,IN
idaho,bannock,82839,NA,NA,NA,NA,NA,80,IN,IN,3.492,17.7,IN
idaho,benewah,9285,NA,NA,NA,NA,NA,NA,9.2,27,NA,NA,NA
idaho,boise,7028,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,bonner,40877,NA,NA,NA,NA,NA,56,IN,IN,NA,NA,NA
idaho,bonneville,104234,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,boundary,10972,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,butte,2891,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA
idaho,canyon,188923,NA,NA,NA,NA,NA,66,5.9,15,NA,NA,NA
idaho,caribou,6963,NA,NA,NA,NA,NA,NA,IN,IN,2.54,23.7,75.7
idaho,cassia,22952,NA,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA
idaho,franklin,12786,NA,NA,NA,NA,NA,NA,IN,70,NA,NA,NA
idaho,gem,16719,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,idaho,16267,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,kootenai,138494,NA,NA,IN,IN,0.056,NA,IN,IN,NA,NA,NA
idaho,latah,37244,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,lemhi,7936,NA,NA,NA,NA,NA,NA,10.3,35,NA,NA,NA
idaho,nez perce,39265,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,power,7817,NA,NA,NA,NA,NA,IN,IN,IN,NA,NA,NA
idaho,shoshone,12765,NA,NA,NA,NA,NA,106,12.2,36,NA,NA,NA
idaho,twin falls,77230,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
idaho,valley,9862,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
illinois,adams,67103,NA,NA,NA,NA,0.067,NA,10.5,23,NA,NA,NA
illinois,champaign,201081,NA,NA,NA,NA,0.055,NA,10.5,21,NA,NA,NA
illinois,clark,16335,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA
illinois,cook,5194675,2,0.24,24.869,71,0.077,65,14,35,4.138,20.6,90
illinois,dupage,916924,NA,NA,NA,NA,0.064,NA,11.7,28,NA,NA,NA
illinois,effingham,34242,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
illinois,hamilton,8457,NA,NA,NA,NA,0.075,NA,11.3,25,NA,NA,NA
illinois,jackson,60218,NA,NA,NA,NA,NA,IN,NA,NA,NA,NA,NA
illinois,jersey,22985,NA,NA,NA,NA,0.072,NA,11.2,21,NA,NA,NA
illinois,kane,515269,NA,NA,NA,NA,0.069,NA,11.4,32,NA,NA,NA
illinois,lake,703462,NA,NA,NA,NA,0.078,NA,9.7,22,NA,NA,NA
illinois,lasalle,113924,NA,NA,NA,NA,NA,68,NA,29,0.727,4.2,14
illinois,mchenry,308760,NA,NA,NA,NA,0.065,NA,10.2,29,NA,NA,NA
illinois,mclean,169572,NA,NA,NA,NA,0.066,NA,10.6,25,NA,NA,NA
illinois,macon,110768,NA,0.12,NA,NA,0.069,NA,12.2,22,2.07,15.3,49
illinois,macoupin,47765,NA,NA,NA,NA,0.071,32,IN,IN,0.875,4.2,15
illinois,madison,269282,NA,0.42,NA,NA,0.08,79,14.6,29,2.422,14,57
illinois,peoria,186494,2,0.02,NA,NA,0.069,47,11.5,26,1.426,15.9,IN
illinois,randolph,33476,NA,NA,NA,NA,0.065,NA,10.2,17,1.217,6.8,31
illinois,rock island,147546,NA,NA,NA,NA,0.057,NA,IN,IN,NA,NA,NA
illinois,st. clair,270056,2,0.03,11.547,43,0.072,62,13,24,1.594,5.9,31
illinois,sangamon,197465,1,NA,NA,NA,0.069,NA,11.5,24,1,7,24
illinois,tazewell,135394,NA,NA,NA,NA,NA,NA,NA,NA,3.894,61.3,228
illinois,wabash,11947,NA,NA,NA,NA,NA,NA,NA,NA,3.043,16,66
illinois,whiteside,58498,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,will,677560,NA,NA,NA,NA,0.065,43,11.8,28,1.317,5.8,24
illinois,winnebago,295266,1,0.06,NA,NA,0.063,NA,IN,IN,NA,NA,NA
indiana,allen,355329,2,NA,NA,NA,0.068,NA,11.8,31,NA,NA,NA
indiana,boone,56640,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
indiana,carroll,20155,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
indiana,clark,110232,NA,NA,NA,NA,0.077,40,14.7,29,NA,NA,NA
indiana,daviess,31648,NA,NA,NA,NA,NA,NA,NA,NA,4.598,25.8,115
indiana,delaware,117671,NA,0.26,NA,NA,0.067,NA,12.8,32,NA,NA,NA
indiana,dubois,41889,NA,NA,NA,NA,NA,36,13.6,27,NA,NA,NA
indiana,elkhart,197559,NA,NA,NA,NA,0.065,NA,11.9,32,NA,NA,NA
indiana,floyd,74578,NA,NA,NA,NA,0.072,NA,13.1,28,3.636,20.6,122.5
indiana,fountain,17240,NA,NA,NA,NA,NA,NA,NA,NA,2.273,8.5,26
indiana,gibson,33503,NA,NA,NA,NA,NA,NA,12.2,26,3.817,20.7,74
indiana,greene,33165,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
indiana,hamilton,274569,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
indiana,hancock,70002,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
indiana,hendricks,145448,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
indiana,henry,49462,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
indiana,howard,82752,NA,NA,NA,NA,NA,NA,12.5,30,NA,NA,NA
indiana,huntington,37124,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA
indiana,jackson,42376,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
indiana,jasper,33478,NA,NA,NA,NA,NA,NA,NA,NA,1.947,10,39
indiana,johnson,139654,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
indiana,knox,38440,NA,NA,NA,NA,NA,NA,12.3,28,NA,NA,NA
indiana,lake,496005,2,0.13,14.671,52.8,0.069,69,13.3,34,2.463,23.5,57.2
indiana,laporte,111467,NA,NA,NA,NA,0.07,NA,10.7,29,2.354,10.6,30
indiana,madison,131636,NA,NA,NA,NA,0.065,NA,IN,IN,NA,NA,NA
indiana,marion,903393,3,0.08,12.683,53.5,0.072,83,14,37,3.347,23.3,103.4
